book_id,title,authors,original_publication_year,average_rating,language_code
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,2008.0,4.34,eng
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPrÃ©",1997.0,4.44,eng
3,"Twilight (Twilight, #1)",Stephenie Meyer,2005.0,3.57,en-US
4,To Kill a Mockingbird,Harper Lee,1960.0,4.25,eng
5,The Great Gatsby,F. Scott Fitzgerald,1925.0,3.89,eng
6,The Fault in Our Stars,John Green,2012.0,4.26,eng
7,The Hobbit,J.R.R. Tolkien,1937.0,4.25,en-US
8,The Catcher in the Rye,J.D. Salinger,1951.0,3.79,eng
9,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,2000.0,3.85,en-CA
10,Pride and Prejudice,Jane Austen,1813.0,4.24,eng
11,The Kite Runner,Khaled Hosseini,2003.0,4.26,eng
12,"Divergent (Divergent, #1)",Veronica Roth,2011.0,4.24,eng
13,1984,"George Orwell, Erich Fromm, CelÃ¢l Ãster",1949.0,4.14,eng
14,Animal Farm,George Orwell,1945.0,3.87,eng
15,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,4.1,eng
16,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",2005.0,4.11,eng
17,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,2009.0,4.3,eng
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPrÃ©, Rufus Beck",1999.0,4.53,eng
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,1954.0,4.34,eng
20,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,2010.0,4.03,eng
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPrÃ©",2003.0,4.46,eng
22,The Lovely Bones,Alice Sebold,2002.0,3.77,eng
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPrÃ©",1998.0,4.37,eng
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPrÃ©",2000.0,4.53,eng
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPrÃ©",2007.0,4.61,eng
26,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,2003.0,3.79,eng
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPrÃ©",2005.0,4.54,eng
28,Lord of the Flies,William Golding,1954.0,3.64,eng
29,Romeo and Juliet,"William Shakespeare, Robert           Jackson",1595.0,3.73,eng
30,Gone Girl,Gillian Flynn,2012.0,4.03,eng
31,The Help,Kathryn Stockett,2009.0,4.45,eng
32,Of Mice and Men,John Steinbeck,1937.0,3.84,eng
33,Memoirs of a Geisha,Arthur Golden,1997.0,4.08,eng
34,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,2011.0,3.67,eng
35,The Alchemist,"Paulo Coelho, Alan R. Clarke",1988.0,3.82,eng
36,"The Giver (The Giver, #1)",Lois Lowry,1993.0,4.12,eng
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,1950.0,4.19,eng
38,The Time Traveler's Wife,Audrey Niffenegger,2003.0,3.95,eng
39,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,1996.0,4.45,eng
40,"Eat, Pray, Love",Elizabeth Gilbert,2006.0,3.51,eng
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,2005.0,4.23,eng
42,"Little Women (Little Women, #1)",Louisa May Alcott,1868.0,4.04,en-US
43,Jane Eyre,"Charlotte BrontÃ«, Michael Mason",1847.0,4.1,eng
44,"The Notebook (The Notebook, #1)",Nicholas Sparks,1996.0,4.06,eng
45,Life of Pi,Yann Martel,2001.0,3.88,
46,Water for Elephants,Sara Gruen,2006.0,4.07,eng
47,The Book Thief,Markus Zusak,2005.0,4.36,eng
48,Fahrenheit 451,Ray Bradbury,1953.0,3.97,spa
49,"New Moon (Twilight, #2)",Stephenie Meyer,2006.0,3.52,eng
50,Where the Sidewalk Ends,Shel Silverstein,1974.0,4.29,eng
51,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,2007.0,4.12,eng
52,"Eclipse (Twilight, #3)",Stephenie Meyer,2007.0,3.69,en-US
53,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,2002.0,3.86,en-US
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979.0,4.2,en-US
55,Brave New World,Aldous Huxley,1932.0,3.97,eng
56,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,2008.0,3.7,en-US
57,The Secret Life of Bees,Sue Monk Kidd,2001.0,4.01,en-US
58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",1884.0,3.8,eng
59,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",1952.0,4.15,eng
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,2003.0,3.85,eng
61,The Girl on the Train,Paula Hawkins,2015.0,3.88,eng
62,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,1995.0,3.94,eng
63,Wuthering Heights,"Emily BrontÃ«, Richard J. Dunn",1847.0,3.82,eng
64,My Sister's Keeper,Jodi Picoult,2004.0,4.06,eng
65,Slaughterhouse-Five,Kurt Vonnegut Jr.,1969.0,4.06,eng
66,Gone with the Wind,Margaret Mitchell,1936.0,4.28,eng
67,A Thousand Splendid Suns,Khaled Hosseini,2007.0,4.34,eng
68,The Perks of Being a Wallflower,Stephen Chbosky,1999.0,4.21,eng
69,"Insurgent (Divergent, #2)",Veronica Roth,2012.0,4.07,eng
70,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,1985.0,4.3,eng
71,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,3.75,eng
72,The Shining (The Shining #1),Stephen King,1977.0,4.17,eng
73,"The Host (The Host, #1)",Stephenie Meyer,2008.0,3.84,en-US
74,Looking for Alaska,John Green,2005.0,4.09,eng
75,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,1996.0,3.75,eng
76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,4.06,eng
77,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",1998.0,3.93,eng
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,2003.0,3.7,eng
79,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, FrÃ©dÃ©ric Mugler, Bernard Knox",-720.0,3.73,eng
80,The Little Prince,"Antoine de Saint-ExupÃ©ry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,4.28,eng
81,The Glass Castle,Jeannette Walls,2005.0,4.24,eng
82,Into the Wild,Jon Krakauer,1996.0,3.94,eng
83,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,3.81,eng
84,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,1990.0,3.96,spa
85,The Giving Tree,Shel Silverstein,1964.0,4.38,eng
86,A Time to Kill,John Grisham,1989.0,4.03,eng
87,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",1958.0,4.3,eng
88,Paper Towns,John Green,2008.0,3.88,en-US
89,The Princess Bride ,William Goldman,1973.0,4.25,en-US
